region,subregion,industry,segment,sales,quantity,discount,city
EMEA,UKIR,Energy,SMB,261.96,2,0.0,Dublin
EMEA,UKIR,Energy,SMB,731.94,3,0.0,Dublin
AMER,NAMER,Energy,Strategic,14.62,2,0.0,New York City
EMEA,EU-WEST,Energy,SMB,957.5775,5,0.45,Stuttgart
EMEA,EU-WEST,Energy,SMB,22.368,2,0.2,Stuttgart
AMER,NAMER,Finance,SMB,48.86,7,0.0,New York City
AMER,NAMER,Finance,SMB,7.28,4,0.0,New York City
AMER,NAMER,Finance,SMB,907.152,6,0.2,New York City
AMER,NAMER,Finance,SMB,18.504,3,0.2,New York City
AMER,NAMER,Finance,SMB,114.9,5,0.0,New York City
AMER,NAMER,Finance,SMB,1706.184,9,0.2,New York City
AMER,NAMER,Finance,SMB,911.424,4,0.2,New York City
EMEA,NOR,Energy,SMB,15.552,3,0.2,Stockholm
AMER,NAMER,Tech,SMB,407.976,3,0.2,Toronto
APJ,JAPN,Healthcare,Enterprise,68.81,5,0.8,Saitama
APJ,JAPN,Healthcare,Enterprise,2.544,3,0.8,Saitama
EMEA,EU,Manufacturing,SMB,665.88,6,0.0,Naples
EMEA,MEA,Retail,SMB,55.5,2,0.0,Ankara
AMER,NAMER,Finance,SMB,8.56,2,0.0,Los Angeles
AMER,NAMER,Finance,SMB,213.48,3,0.2,Los Angeles
AMER,NAMER,Finance,SMB,22.72,4,0.2,Los Angeles
AMER,LATAM,Retail,Strategic,19.46,7,0.0,San José
AMER,LATAM,Retail,Strategic,60.34,7,0.0,San José
EMEA,EU-WEST,Retail,SMB,71.372,2,0.3,Paris
EMEA,MEA,Consumer Products,SMB,1044.63,3,0.0,Istanbul
AMER,NAMER,Manufacturing,SMB,11.648,2,0.2,New York City
AMER,NAMER,Manufacturing,SMB,90.57,3,0.0,New York City
EMEA,EU-WEST,Tech,SMB,3083.43,7,0.5,Paris
EMEA,EU-WEST,Tech,SMB,9.618,2,0.7,Paris
EMEA,EU-WEST,Tech,SMB,124.2,3,0.2,Paris
EMEA,EU-WEST,Tech,SMB,3.264,2,0.2,Paris
EMEA,EU-WEST,Tech,SMB,86.304,6,0.2,Paris
EMEA,EU-WEST,Tech,SMB,6.858,6,0.7,Paris
EMEA,EU-WEST,Tech,SMB,15.76,2,0.2,Paris
APJ,JAPN,Misc,Enterprise,29.472,3,0.2,Tokyo
APJ,JAPN,Consumer Products,Strategic,1097.544,7,0.2,Aichi
APJ,JAPN,Consumer Products,Strategic,190.92,5,0.6,Aichi
APJ,JAPN,Finance,Enterprise,113.328,9,0.2,Tokyo
APJ,JAPN,Finance,Enterprise,532.3992,3,0.32,Tokyo
APJ,JAPN,Finance,Enterprise,212.058,3,0.3,Tokyo
APJ,JAPN,Finance,Enterprise,371.168,4,0.2,Tokyo
APJ,ANZ,Energy,Strategic,147.168,4,0.2,Wollongong
AMER,NAMER,Manufacturing,Strategic,77.88,2,0.0,New York City
EMEA,EU-WEST,Tech,Strategic,95.616,2,0.2,Hanover
EMEA,EU-WEST,Tech,Strategic,45.98,2,0.0,Luxembourg
EMEA,EU-WEST,Tech,Strategic,17.46,2,0.0,Luxembourg
AMER,LATAM,Finance,SMB,211.96,4,0.0,Salvador
APJ,APAC,Finance,SMB,45.0,3,0.0,Davao City
APJ,APAC,Finance,SMB,21.8,2,0.0,Davao City
APJ,IND,Manufacturing,SMB,38.22,6,0.0,Kolkata
APJ,IND,Manufacturing,SMB,75.18,6,0.0,Kolkata
APJ,IND,Manufacturing,SMB,6.16,2,0.0,Kolkata
APJ,IND,Manufacturing,SMB,89.99,1,0.0,Kolkata
EMEA,UKIR,Retail,Strategic,15.26,7,0.0,London
EMEA,UKIR,Retail,Strategic,1029.95,5,0.0,London
EMEA,UKIR,Finance,SMB,208.56,6,0.0,Brighton
EMEA,UKIR,Finance,SMB,32.4,5,0.0,Brighton
EMEA,UKIR,Finance,SMB,319.41,5,0.1,Brighton
EMEA,UKIR,Finance,SMB,14.56,2,0.0,Brighton
EMEA,UKIR,Finance,SMB,30.0,2,0.0,Brighton
EMEA,UKIR,Finance,SMB,48.48,4,0.2,Brighton
EMEA,UKIR,Finance,SMB,1.68,1,0.0,Brighton
AMER,NAMER,Consumer Products,SMB,13.98,2,0.0,New York City
AMER,NAMER,Consumer Products,SMB,25.824,6,0.2,New York City
AMER,NAMER,Consumer Products,SMB,146.73,3,0.0,New York City
AMER,NAMER,Consumer Products,SMB,79.76,4,0.0,New York City
APJ,ANZ,Healthcare,Enterprise,213.115,5,0.3,Sydney
AMER,LATAM,Finance,Strategic,1113.024,8,0.2,Puente Alto
AMER,LATAM,Finance,Strategic,167.968,4,0.2,Puente Alto
EMEA,EU-WEST,Finance,SMB,75.88,2,0.0,Madrid
EMEA,UKIR,Healthcare,SMB,4.616,1,0.2,London
AMER,LATAM,Tech,SMB,19.05,3,0.0,Rio de Janeiro
EMEA,MEA,Tech,SMB,831.936,8,0.2,Cape Town
EMEA,MEA,Tech,SMB,97.04,2,0.2,Cape Town
EMEA,MEA,Tech,SMB,72.784,1,0.2,Cape Town
APJ,JAPN,Transportation,Strategic,1.248,3,0.8,Tokyo
APJ,JAPN,Transportation,Strategic,9.708,3,0.6,Tokyo
APJ,JAPN,Transportation,Strategic,27.24,3,0.2,Tokyo
APJ,JAPN,Tech,SMB,19.3,5,0.6,Tokyo
EMEA,EU-WEST,Consumer Products,Strategic,208.16,1,0.0,Lisboa
EMEA,EU-WEST,Consumer Products,Strategic,16.74,3,0.0,Lisboa
AMER,NAMER,Communications,SMB,14.9,5,0.0,Los Angeles
AMER,NAMER,Communications,SMB,21.39,1,0.0,Los Angeles
EMEA,NOR,Finance,Strategic,200.984,7,0.2,Uppsala
APJ,ANZ,Energy,Enterprise,230.376,3,0.2,Sydney
AMER,LATAM,Finance,SMB,301.96,2,0.0,Bogotá
EMEA,EU-WEST,Transportation,SMB,19.99,1,0.0,Luxembourg
EMEA,EU-WEST,Transportation,SMB,6.16,2,0.0,Luxembourg
APJ,JAPN,Finance,Enterprise,158.368,7,0.2,Tokyo
AMER,NAMER,Transportation,Strategic,20.1,3,0.0,New York City
AMER,NAMER,Transportation,Strategic,73.584,2,0.2,New York City
AMER,NAMER,Transportation,Strategic,6.48,1,0.0,New York City
EMEA,EU-WEST,Finance,SMB,12.96,2,0.0,Luxembourg
EMEA,EU-WEST,Finance,SMB,53.34,3,0.0,Luxembourg
EMEA,EU-WEST,Finance,SMB,32.96,2,0.0,Luxembourg
EMEA,EU-WEST,Retail,Enterprise,5.682,1,0.7,Brussels
EMEA,UKIR,Manufacturing,Enterprise,96.53,7,0.0,London
AMER,NAMER,Energy,SMB,51.312,3,0.2,Los Angeles
EMEA,EU-WEST,Consumer Products,Strategic,77.88,6,0.0,Luxembourg
APJ,ANZ,Consumer Products,Enterprise,64.624,7,0.2,Sydney
APJ,ANZ,Consumer Products,Enterprise,95.976,3,0.2,Sydney
APJ,ANZ,Consumer Products,Enterprise,1.788,3,0.8,Sydney
EMEA,EU-WEST,Finance,SMB,23.92,4,0.0,Luxembourg
EMEA,EU-EAST,Retail,SMB,238.896,6,0.2,Moscow
